队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
钻石风暴,龙行天下,W,A,L,5,,
纵横四海,乘风破浪,W,A,L,9,,
步步高升,青春无悔,W,A,L,4,,奥克兰掼协
风云双雄,黑桃ACE,L,K,W,A,风云掼蛋社,东区华人联谊会
群英荟萃,秋风落叶,W,A,L,K,北岸华人协会,奥克兰掼协
一马当先,旗开得胜,L,5,W,A,南山掼蛋俱乐部,野火掼蛋联盟
西区猎豹,盛夏光年,W,A,L,9,西区体育俱乐部,
龙马精神,北岸龙腾,L,J,W,A,,北岸华人协会
星河万里,雷霆战队,W,A,L,2,野火掼蛋联盟,奥克兰掼协
碧海蓝天,紫荆花开,W,A,L,K,,东区华人联谊会
春暖花开,星空战队,W,A,L,3,野火掼蛋联盟,
万里挑一,梅花三弄,W,A,L,8,中区康养中心,
方块先锋,南山闪电,L,K,W,A,中区康养中心,南山掼蛋俱乐部
南山雄狮,雪山飞狐,W,A,L,2,南山掼蛋俱乐部,风云掼蛋社
勇冠三军,锦上添花,W,A,L,Q,西区体育俱乐部,东区华人联谊会
旭日东升,中区飞鹰,W,A,L,5,风云掼蛋社,中区康养中心
新世纪,钢铁洪流,W,A,L,3,西区体育俱乐部,南山掼蛋俱乐部
虎虎生威,野火燎原,W,A,L,J,奥克兰掼协,野火掼蛋联盟
冬日暖阳,风起云涌,L,5,W,A,,
鸿运当头,卧虎藏龙,W,A,L,Q,,
红心战队,东区虎啸,L,J,W,A,风云掼蛋社,东区华人联谊会
黄金搭档,凤舞九天,W,A,L,8,奥克兰掼协,中区康养中心
破浪前行,吉祥如意,W,A,L,7,北岸华人协会,西区体育俱乐部
大吉大利,旭日战队,W,A,L,8,北岸华人协会,
