队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
南山闪电,雷霆战队,L,Q,W,A,南山掼蛋俱乐部,奥克兰掼协
东区虎啸,风云双雄,L,3,W,A,东区华人联谊会,风云掼蛋社
中区飞鹰,北岸龙腾,L,J,W,A,中区康养中心,北岸华人协会
西区猎豹,野火燎原,W,A,L,9,西区体育俱乐部,野火掼蛋联盟
南山雄狮,碧海蓝天,L,Q,W,A,南山掼蛋俱乐部,
黄金搭档,钻石风暴,L,2,W,A,奥克兰掼协,
紫荆花开,雪山飞狐,W,A,L,Q,东区华人联谊会,风云掼蛋社
龙行天下,凤舞九天,W,A,L,2,,中区康养中心
破浪前行,纵横四海,L,2,W,A,北岸华人协会,
新世纪,星河万里,L,J,W,A,西区体育俱乐部,野火掼蛋联盟
钢铁洪流,盛夏光年,L,10,W,A,南山掼蛋俱乐部,
秋风落叶,冬日暖阳,W,A,L,8,奥克兰掼协,
黑桃ACE,红心战队,W,A,L,5,东区华人联谊会,风云掼蛋社
梅花三弄,方块先锋,W,A,L,K,,中区康养中心
群英荟萃,卧虎藏龙,W,A,L,7,北岸华人协会,
勇冠三军,春暖花开,L,Q,W,A,西区体育俱乐部,野火掼蛋联盟
一马当先,风起云涌,W,A,L,8,南山掼蛋俱乐部,
虎虎生威,龙马精神,L,10,W,A,奥克兰掼协,
锦上添花,星空战队,L,Q,W,A,东区华人联谊会,
旭日东升,万里挑一,L,Q,W,A,风云掼蛋社,中区康养中心
乘风破浪,大吉大利,W,A,L,2,,北岸华人协会
吉祥如意,步步高升,L,2,W,A,西区体育俱乐部,
鸿运当头,旗开得胜,L,8,W,A,,野火掼蛋联盟
旭日战队,青春无悔,L,2,W,A,,奥克兰掼协
