队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
步步高升,钻石风暴,L,9,W,A,,
纵横四海,星河万里,W,A,L,10,,野火掼蛋联盟
旗开得胜,西区猎豹,W,A,L,10,野火掼蛋联盟,西区体育俱乐部
春暖花开,黑桃ACE,W,A,L,10,野火掼蛋联盟,东区华人联谊会
群英荟萃,万里挑一,L,5,W,A,北岸华人协会,中区康养中心
北岸龙腾,碧海蓝天,W,A,L,2,北岸华人协会,
风云双雄,东区虎啸,W,A,L,2,风云掼蛋社,东区华人联谊会
南山雄狮,新世纪,W,A,L,2,南山掼蛋俱乐部,西区体育俱乐部
旭日东升,乘风破浪,W,A,L,J,风云掼蛋社,
秋风落叶,风起云涌,W,A,L,Q,奥克兰掼协,
龙行天下,青春无悔,W,A,L,5,,奥克兰掼协
紫荆花开,龙马精神,W,A,L,3,东区华人联谊会,
勇冠三军,南山闪电,L,4,W,A,西区体育俱乐部,南山掼蛋俱乐部
虎虎生威,盛夏光年,L,7,W,A,奥克兰掼协,
一马当先,鸿运当头,L,Q,W,A,南山掼蛋俱乐部,
梅花三弄,破浪前行,W,A,L,4,,北岸华人协会
黄金搭档,大吉大利,L,5,W,A,奥克兰掼协,北岸华人协会
星空战队,雷霆战队,L,Q,W,A,,奥克兰掼协
方块先锋,锦上添花,W,A,L,J,中区康养中心,东区华人联谊会
野火燎原,卧虎藏龙,W,A,L,8,野火掼蛋联盟,
中区飞鹰,红心战队,W,A,L,8,中区康养中心,风云掼蛋社
雪山飞狐,钢铁洪流,W,A,L,2,风云掼蛋社,南山掼蛋俱乐部
冬日暖阳,凤舞九天,W,A,L,7,,中区康养中心
旭日战队,吉祥如意,L,10,W,A,,西区体育俱乐部
